symbol,companyName,sector,industry,exchangeMarket
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",Consumer Services,Restaurants,NASDAQ
TACO,"Del Taco Restaurants, Inc.",Consumer Services,Restaurants,NASDAQ
TACOW,"Del Taco Restaurants, Inc.",Consumer Services,Restaurants,NASDAQ
DCTH,"Delcath Systems, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
DMPI,"DelMar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
DGAS,"Delta Natural Gas Company, Inc.",Public Utilities,Oil & Gas Production,NASDAQ
DELT,Delta Technology Holdings Limited,Basic Industries,Major Chemicals,NASDAQ
DELTW,Delta Technology Holdings Limited,Basic Industries,Major Chemicals,NASDAQ
DENN,Denny&#39;s Corporation,Consumer Services,Restaurants,NASDAQ
XRAY,DENTSPLY SIRONA Inc.,Health Care,Medical/Dental Instruments,NASDAQ
DEPO,"Depomed, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
DSCI,"Derma Sciences, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
DERM,"Dermira, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
DEST,Destination Maternity Corporation,Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ
DXLG,"Destination XL Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ
DSWL,"Deswell Industries, Inc.",Consumer Non-Durables,Plastic Products,NASDAQ
DTRM,"Determine, Inc. ",Technology,Computer Software: Prepackaged Software,NASDAQ
DXCM,"DexCom, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
DXTR,Dextera Surgical Inc.,Health Care,Medical/Dental Instruments,NASDAQ
DHXM,DHX Media Ltd.,null,null,NASDAQ
DHIL,"Diamond Hill Investment Group, Inc.",Finance,Investment Managers,NASDAQ
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas Production,NASDAQ
DCIX,Diana Containerships Inc.,Transportation,Marine Transportation,NASDAQ
DRNA,"Dicerna Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
DFBG,Differential Brands Group Inc.,Consumer Non-Durables,Apparel,NASDAQ
DGII,Digi International Inc.,Technology,Computer Communications Equipment,NASDAQ
DMRC,Digimarc Corporation,Technology,EDP Services,NASDAQ
DRAD,Digirad Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
DGLY,"Digital Ally, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
APPS,"Digital Turbine, Inc.",Miscellaneous,Multi-Sector Companies,NASDAQ
DCOM,"Dime Community Bancshares, Inc.",Finance,Savings Institutions,NASDAQ
DMTX,"Dimension Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
DIOD,Diodes Incorporated,Technology,Semiconductors,NASDAQ
DPRX,"Dipexium Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
DISCA,"Discovery Communications, Inc.",Consumer Services,Television Services,NASDAQ
DISCB,"Discovery Communications, Inc.",Consumer Services,Television Services,NASDAQ
DISCK,"Discovery Communications, Inc.",Consumer Services,Television Services,NASDAQ
DISH,DISH Network Corporation,Consumer Services,Television Services,NASDAQ
DVCR,Diversicare Healthcare Services Inc.,Health Care,Hospital/Nursing Management,NASDAQ
SAUC,"Diversified Restaurant Holdings, Inc.",Consumer Services,Restaurants,NASDAQ
DLHC,DLH Holdings Corp.,Technology,Professional Services,NASDAQ
DNBF,DNB Financial Corp,Finance,Major Banks,NASDAQ
DLTR,"Dollar Tree, Inc.",Consumer Services,Department/Specialty Retail Stores,NASDAQ
DGICA,"Donegal Group, Inc.",Finance,Property-Casualty Insurers,NASDAQ
DGICB,"Donegal Group, Inc.",Finance,Property-Casualty Insurers,NASDAQ
DMLP,"Dorchester Minerals, L.P.",Energy,Oil & Gas Production,NASDAQ
DORM,"Dorman Products, Inc.",Capital Goods,Auto Parts:O.E.M.,NASDAQ
EAGL,Double Eagle Acquisition Corp.,Finance,Business Services,NASDAQ
EAGLU,Double Eagle Acquisition Corp.,Finance,Business Services,NASDAQ
EAGLW,Double Eagle Acquisition Corp.,Finance,Business Services,NASDAQ
DRWI,DragonWave Inc,Public Utilities,Telecommunications Equipment,NASDAQ
DRYS,DryShips Inc.,Transportation,Marine Transportation,NASDAQ
DSKX,"DS Healthcare Group, Inc.",Consumer Non-Durables,Package Goods/Cosmetics,NASDAQ
DSPG,"DSP Group, Inc.",Technology,Semiconductors,NASDAQ
DTSI,"DTS, Inc.",Miscellaneous,Multi-Sector Companies,NASDAQ
DLTH,Duluth Holdings Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ
DNKN,"Dunkin&#39; Brands Group, Inc.",Consumer Services,Restaurants,NASDAQ
DRRX,Durect Corporation,Health Care,Major Pharmaceuticals,NASDAQ
DXPE,"DXP Enterprises, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
BOOM,Dynamic Materials Corporation,Capital Goods,Industrial Specialties,NASDAQ
DYSL,Dynasil Corporation of America,Capital Goods,Industrial Machinery/Components,NASDAQ
DYNT,Dynatronics Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
DVAX,Dynavax Technologies Corporation,Health Care,Major Pharmaceuticals,NASDAQ
ETFC,E*TRADE Financial Corporation,Finance,Savings Institutions,NASDAQ
EBMT,"Eagle Bancorp Montana, Inc.",Finance,Savings Institutions,NASDAQ
EGBN,"Eagle Bancorp, Inc.",Finance,Major Banks,NASDAQ
EGLE,Eagle Bulk Shipping Inc.,Transportation,Marine Transportation,NASDAQ
EGRX,"Eagle Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ELNK,EarthLink Holdings Corp.,Technology,"Computer Software: Programming, Data Processing",NASDAQ
EWBC,"East West Bancorp, Inc.",Finance,Major Banks,NASDAQ
EACQ,Easterly Acquisition Corp.,Capital Goods,Building Products,NASDAQ
EACQU,Easterly Acquisition Corp.,Capital Goods,Building Products,NASDAQ
EACQW,Easterly Acquisition Corp.,Capital Goods,Building Products,NASDAQ
EML,Eastern Company (The),Capital Goods,Industrial Machinery/Components,NASDAQ
EVBS,"Eastern Virginia Bankshares, Inc.",Finance,Major Banks,NASDAQ
EVGBC,Eaton Vance NextShares Trust,null,null,NASDAQ
EVSTC,Eaton Vance NextShares Trust,null,null,NASDAQ
EVLMC,Eaton Vance NextShares Trust II,null,null,NASDAQ
EBAY,eBay Inc.,Miscellaneous,Business Services,NASDAQ
EBAYL,eBay Inc.,Miscellaneous,Business Services,NASDAQ
EBIX,"Ebix, Inc.",Technology,EDP Services,NASDAQ
ELON,Echelon Corporation,Technology,Computer Communications Equipment,NASDAQ
ECHO,"Echo Global Logistics, Inc.",Transportation,Oil Refining/Marketing,NASDAQ
SATS,EchoStar Corporation,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
EEI,"Ecology and Environment, Inc.",Consumer Services,Military/Government/Technical,NASDAQ
ECAC,E-compass Acquisition Corp.,Finance,Business Services,NASDAQ
ECACR,E-compass Acquisition Corp.,Finance,Business Services,NASDAQ
ECACU,E-compass Acquisition Corp.,Finance,Business Services,NASDAQ
ESES,"Eco-Stim Energy Solutions, Inc.",Energy,Oilfield Services/Equipment,NASDAQ
EDAP,EDAP TMS S.A.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
EDGE,"Edge Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
EDGW,"Edgewater Technology, Inc.",Technology,"Computer Software: Programming, Data Processing",NASDAQ
EDIT,"Editas Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
EDUC,Educational Development Corporation,Consumer Durables,Consumer Specialties,NASDAQ
EFUT,eFuture Holding Inc.,Technology,EDP Services,NASDAQ
EGAN,eGain Corporation,Technology,Computer Software: Prepackaged Software,NASDAQ
EGLT,Egalet Corporation,Health Care,Major Pharmaceuticals,NASDAQ
EHTH,"eHealth, Inc.",Finance,Specialty Insurers,NASDAQ
EIGR,"Eiger BioPharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
EKSO,"Ekso Bionics Holdings, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
LOCO,"El Pollo Loco Holdings, Inc.",Consumer Services,Restaurants,NASDAQ
EMITF,Elbit Imaging Ltd.,Consumer Services,Building operators,NASDAQ
ESLT,Elbit Systems Ltd.,Capital Goods,Military/Government/Technical,NASDAQ
ERI,"Eldorado Resorts, Inc.",Consumer Services,Hotels/Resorts,NASDAQ
ESIO,"Electro Scientific Industries, Inc.",Miscellaneous,Industrial Machinery/Components,NASDAQ
EA,Electronic Arts Inc.,Technology,Computer Software: Prepackaged Software,NASDAQ
EFII,"Electronics for Imaging, Inc.",Technology,Computer Communications Equipment,NASDAQ
ELSE,"Electro-Sensors, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
ELEC,Electrum Special Acquisition Corporation,Finance,Business Services,NASDAQ
ELECU,Electrum Special Acquisition Corporation,Finance,Business Services,NASDAQ
ELECW,Electrum Special Acquisition Corporation,Finance,Business Services,NASDAQ
EBIO,"Eleven Biotherapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
RDEN,"Elizabeth Arden, Inc.",Consumer Non-Durables,Package Goods/Cosmetics,NASDAQ
CAPX,Elkhorn S&P 500 Capital Expenditures Portfolio,null,null,NASDAQ
ESBK,Elmira Savings Bank NY (The),Finance,Major Banks,NASDAQ
ELTK,Eltek Ltd.,Technology,Electrical Products,NASDAQ
EMCI,EMC Insurance Group Inc.,Finance,Property-Casualty Insurers,NASDAQ
EMCF,Emclaire Financial Corp,Finance,Major Banks,NASDAQ
EMKR,EMCORE Corporation,Technology,Semiconductors,NASDAQ
EMMS,Emmis Communications Corporation,Consumer Services,Broadcasting,NASDAQ
NYNY,"Empire Resorts, Inc.",Consumer Services,Restaurants,NASDAQ
ERS,"Empire Resources, Inc.",Basic Industries,Metal Fabrications,NASDAQ
ENTA,"Enanta Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ECPG,Encore Capital Group Inc,Finance,Finance Companies,NASDAQ
WIRE,Encore Wire Corporation,Capital Goods,Metal Fabrications,NASDAQ
ENDP,Endo International plc,Health Care,Major Pharmaceuticals,NASDAQ
ECYT,"Endocyte, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ELGX,"Endologix, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
EIGI,"Endurance International Group Holdings, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
WATT,Energous Corporation,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
EFOI,"Energy Focus, Inc.",Consumer Durables,Building Products,NASDAQ
ERII,"Energy Recovery, Inc.",Technology,Industrial Machinery/Components,NASDAQ
ENOC,"EnerNOC, Inc.",Technology,"Computer Software: Programming, Data Processing",NASDAQ
ENG,ENGlobal Corporation,Consumer Services,Military/Government/Technical,NASDAQ
ENPH,"Enphase Energy, Inc.",Technology,Semiconductors,NASDAQ
ESGR,Enstar Group Limited,Finance,Property-Casualty Insurers,NASDAQ
ENFC,Entegra Financial Corp.,Finance,Banks,NASDAQ
ENTG,"Entegris, Inc.",Consumer Non-Durables,Plastic Products,NASDAQ
ENTL,"Entellus Medical, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
ETRM,EnteroMedics Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
EBTC,Enterprise Bancorp Inc,Finance,Major Banks,NASDAQ
EFSC,Enterprise Financial Services Corporation,Finance,Major Banks,NASDAQ
EGT,Entertainment Gaming Asia Incorporated,Consumer Durables,Miscellaneous manufacturing industries,NASDAQ
ENZY          ,Enzymotec Ltd.,Consumer Durables,Specialty Chemicals,NASDAQ
EPIQ,"EPIQ Systems, Inc.",Technology,EDP Services,NASDAQ
EPZM,"Epizyme, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
PLUS,ePlus inc.,Technology,Retail: Computer Software & Peripheral Equipment,NASDAQ
EQIX,"Equinix, Inc.",Consumer Services,Real Estate Investment Trusts,NASDAQ
EQFN,Equitable Financial Corp.,Finance,Savings Institutions,NASDAQ
EQBK,"Equity Bancshares, Inc.",Finance,Major Banks,NASDAQ
EAC           ,Erickson Incorporated,Capital Goods,Aerospace,NASDAQ
ERIC,Ericsson,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
ERIE,Erie Indemnity Company,Finance,Specialty Insurers,NASDAQ
ESCA,"Escalade, Incorporated",Consumer Non-Durables,Recreational Products/Toys,NASDAQ
ESMC,Escalon Medical Corp.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
ESPR,"Esperion Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ESSA,"ESSA Bancorp, Inc.",Finance,Banks,NASDAQ
EPIX,ESSA Pharma Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ESND,Essendant Inc.,Consumer Services,Paper,NASDAQ
ETSY,"Etsy, Inc.",Miscellaneous,Business Services,NASDAQ
CLWT,Euro Tech Holdings Company Limited,Consumer Durables,Diversified Electronic Products,NASDAQ
EEFT,"Euronet Worldwide, Inc.",Finance,Investment Bankers/Brokers/Service,NASDAQ
ESEA,Euroseas Ltd.,Transportation,Marine Transportation,NASDAQ
EVEP,"EV Energy Partners, L.P.",Energy,Oil & Gas Production,NASDAQ
EVK,"Ever-Glory International Group, Inc.",Consumer Non-Durables,Apparel,NASDAQ
EVLV,EVINE Live Inc.,Consumer Services,Catalog/Specialty Distribution,NASDAQ
EVOK,"Evoke Pharma, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
EVOL,"Evolving Systems, Inc.",Technology,EDP Services,NASDAQ
EXA,Exa Corporation,Technology,Computer Software: Prepackaged Software,NASDAQ
EXAS,EXACT Sciences Corporation,Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ
EXAC,"Exactech, Inc.",Health Care,Industrial Specialties,NASDAQ
EXEL,"Exelixis, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ
EXFO,EXFO Inc,Capital Goods,Electrical Products,NASDAQ
EXLS,"ExlService Holdings, Inc.",Miscellaneous,Business Services,NASDAQ
EXPE,"Expedia, Inc.",Consumer Services,Transportation Services,NASDAQ
EXPD,"Expeditors International of Washington, Inc.",Transportation,Oil Refining/Marketing,NASDAQ
EXPO,"Exponent, Inc.",Consumer Services,Professional Services,NASDAQ
ESRX,Express Scripts Holding Company,Health Care,Medical/Nursing Services,NASDAQ
EXTR,"Extreme Networks, Inc.",Technology,Computer Communications Equipment,NASDAQ
EYEG,"Eyegate Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
EYEGW,"Eyegate Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
EZPW,"EZCORP, Inc.",Consumer Services,Other Specialty Stores,NASDAQ
FFIV,"F5 Networks, Inc.",Technology,Computer Communications Equipment,NASDAQ
FB,"Facebook, Inc.",Technology,"Computer Software: Programming, Data Processing",NASDAQ
FCS,"Fairchild Semiconductor International, Inc.",Technology,Semiconductors,NASDAQ
FRP,"FairPoint Communications, Inc.",Public Utilities,Telecommunications Equipment,NASDAQ
FALC,"FalconStor Software, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
DAVE,"Famous Dave&#39;s of America, Inc.",Consumer Services,Restaurants,NASDAQ
FARM,Farmer Brothers Company,Consumer Non-Durables,Packaged Foods,NASDAQ
FFKT,Farmers Capital Bank Corporation,Finance,Major Banks,NASDAQ
FMNB,Farmers National Banc Corp.,Finance,Major Banks,NASDAQ
FARO,"FARO Technologies, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
FAST,Fastenal Company,Consumer Services,RETAIL: Building Materials,NASDAQ
FATE,"Fate Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
FBSS,"Fauquier Bankshares, Inc.",Finance,Major Banks,NASDAQ
FBRC,FBR & Co,Finance,Investment Bankers/Brokers/Service,NASDAQ
FDML,Federal-Mogul Holdings Corporation,Capital Goods,Auto Parts:O.E.M.,NASDAQ
FNHC,Federated National Holding Company,Finance,Property-Casualty Insurers,NASDAQ
FEIC,FEI Company,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
FHCO,Female Health Company (The),Basic Industries,Specialty Chemicals,NASDAQ
FENX,"Fenix Parts, Inc.",Consumer Services,Motor Vehicles,NASDAQ
GSM,Ferroglobe PLC,Capital Goods,Metal Fabrications,NASDAQ
FCSC,Fibrocell Science Inc,Health Care,Major Pharmaceuticals,NASDAQ
FGEN,"FibroGen, Inc",Health Care,Major Pharmaceuticals,NASDAQ
ONEQ,Fidelity Nasdaq Composite Index Tracking Stock,null,null,NASDAQ
LION,Fidelity Southern Corporation,Finance,Major Banks,NASDAQ
FDUS,Fidus Investment Corporation,null,null,NASDAQ
FRGI,"Fiesta Restaurant Group, Inc.",Consumer Services,Restaurants,NASDAQ
FSAM,Fifth Street Asset Management Inc.,Finance,Investment Managers,NASDAQ
FSC,Fifth Street Finance Corp.,null,null,NASDAQ
FSCFL,Fifth Street Finance Corp.,null,null,NASDAQ
FSFR,Fifth Street Senior Floating Rate Corp.,null,null,NASDAQ
FITB,Fifth Third Bancorp,Finance,Major Banks,NASDAQ
FITBI,Fifth Third Bancorp,Finance,Major Banks,NASDAQ
FNGN,"Financial Engines, Inc.",Finance,Investment Managers,NASDAQ
FISI,"Financial Institutions, Inc.",Finance,Major Banks,NASDAQ
FNSR,Finisar Corporation,Technology,Semiconductors,NASDAQ
FNJN,"Finjan Holdings, Inc.",Miscellaneous,Multi-Sector Companies,NASDAQ
FEYE,"FireEye, Inc.",Technology,Computer peripheral equipment,NASDAQ
FBNC,First Bancorp,Finance,Major Banks,NASDAQ
FNLC,"First Bancorp, Inc (ME)",Finance,Major Banks,NASDAQ
FRBA,First Bank,null,null,NASDAQ
BUSE,First Busey Corporation,Finance,Major Banks,NASDAQ
FBIZ,"First Business Financial Services, Inc.",Finance,Major Banks,NASDAQ
FCAP,"First Capital, Inc.",Finance,Savings Institutions,NASDAQ
FCFS,"First Cash Financial Services, Inc.",Consumer Services,Other Specialty Stores,NASDAQ
FCNCA,"First Citizens BancShares, Inc.",Finance,Major Banks,NASDAQ
FCLF,First Clover Leaf Financial Corp.,Finance,Major Banks,NASDAQ
FCBC,"First Community Bancshares, Inc.",Finance,Major Banks,NASDAQ
FCCO,First Community Corporation,Finance,Major Banks,NASDAQ
FCFP,"First Community Financial Partners, Inc.",Finance,Major Banks,NASDAQ
FBNK,"First Connecticut Bancorp, Inc.",Finance,Banks,NASDAQ
FDEF,First Defiance Financial Corp.,Finance,Savings Institutions,NASDAQ
FFBC,First Financial Bancorp.,Finance,Major Banks,NASDAQ
FFBCW,First Financial Bancorp.,Finance,Major Banks,NASDAQ
FFIN,"First Financial Bankshares, Inc.",Finance,Major Banks,NASDAQ
THFF,First Financial Corporation Indiana,Finance,Major Banks,NASDAQ
FFNW,"First Financial Northwest, Inc.",Finance,Banks,NASDAQ
FFWM,First Foundation Inc.,Finance,Major Banks,NASDAQ
FGBI,"First Guaranty Bancshares, Inc.",Finance,Savings Institutions,NASDAQ
FHB,"First Hawaiian, Inc.",null,null,NASDAQ
INBK,First Internet Bancorp,Finance,Major Banks,NASDAQ
FIBK,"First Interstate BancSystem, Inc.",Finance,Major Banks,NASDAQ
FRME,First Merchants Corporation,Finance,Major Banks,NASDAQ
FMBH,"First Mid-Illinois Bancshares, Inc.",Finance,Major Banks,NASDAQ
FMBI,"First Midwest Bancorp, Inc.",Finance,Major Banks,NASDAQ
FNBC,First NBC Bank Holding Company,Finance,Major Banks,NASDAQ
FNWB,First Northwest Bancorp,Finance,Banks,NASDAQ
FSFG,"First Savings Financial Group, Inc.",Finance,Savings Institutions,NASDAQ
FSLR,"First Solar, Inc.",Technology,Semiconductors,NASDAQ
FSBK,First South Bancorp Inc,Finance,Major Banks,NASDAQ
FAAR,First Trust Alternative Absolute Return Strategy ETF,null,null,NASDAQ
FPA,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,null,null,NASDAQ
BICK,First Trust BICK Index Fund,null,null,NASDAQ
FBZ,First Trust Brazil AlphaDEX Fund,null,null,NASDAQ
FCAN,First Trust Canada AlphaDEX Fund,null,null,NASDAQ
FTCS,First Trust Capital Strength ETF,null,null,NASDAQ
FCA,First Trust China AlphaDEX Fund,null,null,NASDAQ
FDT,First Trust Developed Markets Ex-US AlphaDEX Fund,null,null,NASDAQ
FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,null,null,NASDAQ
FVC,First Trust Dorsey Wright Dynamic Focus 5 ETF,null,null,NASDAQ
FV,First Trust Dorsey Wright Focus 5 ETF,null,null,NASDAQ
IFV,First Trust Dorsey Wright International Focus 5 ETF,null,null,NASDAQ
FEM,First Trust Emerging Markets AlphaDEX Fund,null,null,NASDAQ
FEMB,First Trust Emerging Markets Local Currency Bond ETF,null,null,NASDAQ
FEMS,First Trust Emerging Markets Small Cap AlphaDEX Fund,null,null,NASDAQ
FTSM,First Trust Enhanced Short Maturity ETF,null,null,NASDAQ
FEP,First Trust Europe AlphaDEX Fund,null,null,NASDAQ
FEUZ,First Trust Eurozone AlphaDEX ETF,null,null,NASDAQ
FGM,First Trust Germany AlphaDEX Fund,null,null,NASDAQ
FTGC,First Trust Global Tactical Commodity Strategy Fund,null,null,NASDAQ
FTHI,First Trust High Income ETF,null,null,NASDAQ
HYLS,First Trust High Yield Long/Short ETF,null,null,NASDAQ
FHK,First Trust Hong Kong AlphaDEX Fund,null,null,NASDAQ
FTAG,First Trust Indxx Global Agriculture ETF,null,null,NASDAQ
FTRI,First Trust Indxx Global Natural Resources Income ETF,null,null,NASDAQ
FPXI,First Trust International IPO ETF,null,null,NASDAQ
YDIV,First Trust International Multi-Asset Diversified Income Index,null,null,NASDAQ
SKYY,First Trust ISE Cloud Computing Index Fund,null,null,NASDAQ
FJP,First Trust Japan AlphaDEX Fund,null,null,NASDAQ
FEX,First Trust Large Cap Core AlphaDEX Fund,null,null,NASDAQ
FTC,First Trust Large Cap Growth AlphaDEX Fund,null,null,NASDAQ
FTA,First Trust Large Cap Value AlphaDEX Fund,null,null,NASDAQ
FLN,First Trust Latin America AlphaDEX Fund,null,null,NASDAQ
FTLB,First Trust Low Beta Income ETF,null,null,NASDAQ
LMBS,First Trust Low Duration Opportunities ETF,null,null,NASDAQ
FMB,First Trust Managed Municipal ETF,null,null,NASDAQ
FMK,First Trust Mega Cap AlphaDEX Fund,null,null,NASDAQ
FNX,First Trust Mid Cap Core AlphaDEX Fund,null,null,NASDAQ
FNY,First Trust Mid Cap Growth AlphaDEX Fund,null,null,NASDAQ
FNK,First Trust Mid Cap Value AlphaDEX Fund,null,null,NASDAQ
FAD,First Trust Multi Cap Growth AlphaDEX Fund,null,null,NASDAQ
FAB,First Trust Multi Cap Value AlphaDEX Fund,null,null,NASDAQ
MDIV,First Trust Multi-Asset Diversified Income Index Fund,null,null,NASDAQ
QABA,First Trust NASDAQ ABA Community Bank Index Fund,null,null,NASDAQ
QCLN,First Trust NASDAQ Clean Edge Green Energy Index Fund,null,null,NASDAQ
GRID,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index ,null,null,NASDAQ
CIBR,First Trust NASDAQ Cybersecurity ETF,null,null,NASDAQ
CARZ,First Trust NASDAQ Global Auto Index Fund,null,null,NASDAQ
RDVY,First Trust NASDAQ Rising Dividend Achievers ETF,null,null,NASDAQ
FONE,First Trust NASDAQ Smartphone Index Fund,null,null,NASDAQ
TDIV,First Trust NASDAQ Technology Dividend Index Fund,null,null,NASDAQ
QQEW,First Trust NASDAQ-100 Equal Weighted Index Fund,null,null,NASDAQ
QQXT,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,null,null,NASDAQ
QTEC,First Trust NASDAQ-100- Technology Index Fund,null,null,NASDAQ
AIRR,First Trust RBA American Industrial Renaissance ETF,null,null,NASDAQ
QINC,First Trust RBA Quality Income ETF,null,null,NASDAQ
RFAP,First Trust RiverFront Dynamic Asia Pacific ETF,null,null,NASDAQ
RFDI,First Trust RiverFront Dynamic Developed International ETF,null,null,NASDAQ
RFEM,First Trust RiverFront Dynamic Emerging Markets ETF,null,null,NASDAQ
RFEU,First Trust RiverFront Dynamic Europe ETF,null,null,NASDAQ
FTSL,First Trust Senior Loan Fund ETF,null,null,NASDAQ
FYX,First Trust Small Cap Core AlphaDEX Fund,null,null,NASDAQ
FYC,First Trust Small Cap Growth AlphaDEX Fund,null,null,NASDAQ
FYT,First Trust Small Cap Value AlphaDEX Fund,null,null,NASDAQ
FKO,First Trust South Korea AlphaDEX Fund,null,null,NASDAQ
FCVT,First Trust SSI Strategic Convertible Securities ETF,null,null,NASDAQ
FDIV,First Trust Strategic Income ETF,null,null,NASDAQ
FSZ,First Trust Switzerland AlphaDEX Fund,null,null,NASDAQ
FTW,First Trust Taiwan AlphaDEX Fund,null,null,NASDAQ
TUSA,First Trust Total US Market AlphaDEX ETF,null,null,NASDAQ
FKU,First Trust United Kingdom AlphaDEX Fund,null,null,NASDAQ
FUNC,First United Corporation,Finance,Major Banks,NASDAQ
SVVC,"Firsthand Technology Value Fund, Inc.",null,null,NASDAQ
FSV,FirstService Corporation,Finance,Real Estate,NASDAQ
FISV,"Fiserv, Inc.",Technology,EDP Services,NASDAQ
FIVE,"Five Below, Inc.",Consumer Services,Department/Specialty Retail Stores,NASDAQ
FPRX,"Five Prime Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
FVE,"Five Star Quality Care, Inc.",Health Care,Hospital/Nursing Management,NASDAQ
FIVN,"Five9, Inc.",Technology,EDP Services,NASDAQ
FLML,Flamel Technologies S.A.,Health Care,Major Pharmaceuticals,NASDAQ
FLKS,"Flex Pharma, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
FLXN,"Flexion Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
SKOR,FlexShares Credit-Scored US Corporate Bond Index Fund,null,null,NASDAQ
LKOR,FlexShares Credit-Scored US Long Corporate Bond Index Fund,null,null,NASDAQ
MBSD,FlexShares Disciplined Duration MBS Index Fund,null,null,NASDAQ
ASET,FlexShares Real Assets Allocation Index Fund,null,null,NASDAQ
ESGG,FlexShares STOXX Global ESG Impact Index Fund,null,null,NASDAQ
ESG,FlexShares STOXX US ESG Impact Index Fund,null,null,NASDAQ
QLC,FlexShares US Quality Large Cap Index Fund,null,null,NASDAQ
FLXS,"Flexsteel Industries, Inc.",Consumer Durables,Home Furnishings,NASDAQ
FLEX,Flextronics International Ltd.,Technology,Electrical Products,NASDAQ
FLIR,"FLIR Systems, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
FLDM,Fluidigm Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
FFIC,Flushing Financial Corporation,Finance,Major Banks,NASDAQ
FOMX,Foamix Pharmaceuticals Ltd.,Consumer Durables,Specialty Chemicals,NASDAQ
FOGO,"Fogo de Chao, Inc.",Consumer Services,Restaurants,NASDAQ
FONR,Fonar Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
FES,Forbes Energy Services Ltd,Energy,Oilfield Services/Equipment,NASDAQ
FH,FORM Holdings Corp.,Miscellaneous,Multi-Sector Companies,NASDAQ
FORM,"FormFactor, Inc.",Technology,Semiconductors,NASDAQ
FORTY,Formula Systems (1985) Ltd.,Technology,EDP Services,NASDAQ
